"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2021-10-03,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-10-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-10-03,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-10-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-10-10,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-10-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-10-10,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-10-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-10-17,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-10-17,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-10-17,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-10-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-10-24,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-10-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-10-24,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-10-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-11-01,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-11-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-11-01,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-11-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-11-07,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-11-07,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-11-07,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-11-07,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-11-14,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-11-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-11-14,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-11-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-11-21,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-11-21,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-11-21,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-11-21,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-11-28,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2021-11-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-11-28,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
