"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2021-12-03,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1689503289775.83,1539352890748.02,1839653688803.65,2
2021-12-03,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",11.3008230800561,10.2964905610953,12.305155599017,2
2021-12-06,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2260466537821.68,1507270922774.05,3013662152869.3,2
2021-12-06,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",12.6524606972717,8.43661509314655,16.8683063013968,2
2021-12-06,"STEP Aire","2021/22","IAV_gc_per_day",0,0,0,2
2021-12-06,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0,0,0,2
2021-12-06,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-06,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",5630312543887.28,5630312543887.28,5630312543887.28,1
2021-12-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",18.9040941335988,18.9040941335988,18.9040941335988,1
2021-12-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-10,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-10,"STEP Aire","2021/22","IAV_gc_per_day",1002055580341.57,0,2004111160683.13,2
2021-12-10,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.2110064772264,0,6.42201295445281,2
2021-12-10,"STEP Aire","2021/22","IBV_gc_per_day",334006157021.695,0,668012314043.391,2
2021-12-10,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.07029585451197,0,2.14059170902394,2
2021-12-13,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3347680313610.79,2982674405747.72,3712686221473.86,2
2021-12-13,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",18.8685614388346,16.8112752726345,20.9258476050347,2
2021-12-13,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-13,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-13,"STEP Aire","2021/22","IAV_gc_per_day",376416997289.569,0,752833994579.138,2
2021-12-13,"STEP Aire","2021/22","IAV_gc_per_mL_WW",2.30715527415888,0,4.61431054831775,2
2021-12-13,"STEP Aire","2021/22","IBV_gc_per_day",188807612691.645,0,377615225383.29,2
2021-12-13,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.15724975906912,0,2.31449951813824,2
2021-12-17,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2142515219571.84,1938686995692.95,2346343443450.74,2
2021-12-17,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",13.7210781721796,12.4157231539326,15.0264331904267,2
2021-12-17,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-17,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-17,"STEP Aire","2021/22","IAV_gc_per_day",537754182548.49,341088659051.661,734419706045.319,2
2021-12-17,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.52602571994289,2.23650028884441,4.81555115104137,2
2021-12-17,"STEP Aire","2021/22","IBV_gc_per_day",524696360439.255,367202205048.046,682190515830.464,2
2021-12-17,"STEP Aire","2021/22","IBV_gc_per_mL_WW",3.44040627132158,2.40772542815583,4.47308711448734,2
2021-12-20,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1435411642449.19,846971327235.754,2023851957662.63,2
2021-12-20,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",10.1468646312529,5.98720475009525,14.3065245124106,2
2021-12-20,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-20,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-20,"STEP Aire","2021/22","IAV_gc_per_day",710574602325.174,701207756475.124,719941448175.225,2
2021-12-20,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.61879957830773,4.55791422788749,4.67968492872796,2
2021-12-20,"STEP Aire","2021/22","IBV_gc_per_day",710574602325.174,701207756475.124,719941448175.225,2
2021-12-20,"STEP Aire","2021/22","IBV_gc_per_mL_WW",4.61879957830773,4.55791422788749,4.67968492872796,2
2021-12-24,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1293741345173.53,1140736199621.77,1446746490725.3,2
2021-12-24,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",9.26332573864724,8.16779261046618,10.3588588668283,2
2021-12-24,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-24,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-24,"STEP Aire","2021/22","IAV_gc_per_day",2400247942340,1596141804645.07,3204354080034.92,2
2021-12-24,"STEP Aire","2021/22","IAV_gc_per_mL_WW",17.1430363062001,11.3999543231348,22.8861182892655,2
2021-12-24,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-24,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-27,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1142792182104.8,1138266351778.95,1147318012430.66,2
2021-12-27,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.05175585086817,4.03570957422226,4.06780212751407,2
2021-12-27,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-27,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-27,"STEP Aire","2021/22","IAV_gc_per_day",2954261900890.91,2577604125950.75,3700576728588.27,3
2021-12-27,"STEP Aire","2021/22","IAV_gc_per_mL_WW",10.5556854187631,9.20987346431161,13.2222954922153,3
2021-12-27,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,3
2021-12-27,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,3
2021-12-31,"STEP Aire","2021/22","IAV_gc_per_day",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-01,"ARA Werdhölzli","2021/22","IAV_gc_per_day",835541074354.177,336174822685.236,1334907326023.12,2
2022-01-01,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.17858276923346,2.08357099087378,8.27359454759314,2
2022-01-01,"ARA Werdhölzli","2021/22","IBV_gc_per_day",168087411342.618,0,336174822685.236,2
2022-01-01,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.04178549543689,0,2.08357099087378,2
2022-01-03,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1485539198077.92,1320993239321.38,1650085156834.46,2
2022-01-03,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",9.34463272323744,8.30957316192643,10.3796922845485,2
2022-01-03,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-03,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_day",563307768779.675,378642693257.864,747972844301.485,2
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.57483226366753,2.40292108733477,4.74674344000029,2
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_day",552541535399.366,375545687038.599,729537383760.132,2
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.57676047798348,2.4310153807821,4.72250557518486,2
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_day",391217695913.826,389257351882.653,393178039944.999,2
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.06158991518333,2.05125954023566,2.07192029013101,2
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",663026411117.504,0,1326052822235.01,2
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.07396463108093,0,4.14792926216186,2
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-10,"STEP Aire","2021/22","IAV_gc_per_day",177500017272.402,0,355000034544.804,2
2022-01-10,"STEP Aire","2021/22","IAV_gc_per_mL_WW",1.06168552143649,0,2.12337104287297,2
2022-01-10,"STEP Aire","2021/22","IBV_gc_per_day",181575417403.224,0,363150834806.448,2
2022-01-10,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.08606181941912,0,2.17212363883824,2
2022-01-14,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1015555629507.55,688913803123.844,1342197455891.26,2
2022-01-14,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",6.11353310684941,4.1471852656712,8.07988094802761,2
2022-01-14,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-14,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-14,"STEP Aire","2021/22","IAV_gc_per_day",644121941298.14,640191640130.01,648052242466.271,2
2022-01-14,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.34114642056761,4.31465762744655,4.36763521368867,2
2022-01-14,"STEP Aire","2021/22","IBV_gc_per_day",160044923395.619,0,320089846791.238,2
2022-01-14,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.07864427802083,0,2.15728855604166,2
2022-01-17,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1186778257378.13,1002410048231.33,1371146466524.94,2
2022-01-17,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",7.35372255995691,6.21130808571724,8.49613703419658,2
2022-01-17,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-17,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-17,"STEP Aire","2021/22","IAV_gc_per_day",846522692476.193,649324321397.25,1043721063555.14,2
2022-01-17,"STEP Aire","2021/22","IAV_gc_per_mL_WW",5.67157783203597,4.35037768009038,6.99277798398157,2
2022-01-17,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-17,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-21,"ARA Werdhölzli","2021/22","IAV_gc_per_day",682148003470.552,623063043449.868,741232963491.237,2
2022-01-21,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.60689823619555,4.20786694574228,5.00592952664882,2
2022-01-21,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-21,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-21,"STEP Aire","2021/22","IAV_gc_per_day",869304642711.831,353621069394.36,1538628204918.52,3
2022-01-21,"STEP Aire","2021/22","IAV_gc_per_mL_WW",6.18233738976204,2.51488908687343,10.9424455051065,3
